sensors/logging_button,2015-03-21 07:12:46,START
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.51,-3.55
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.52,-3.54
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.46,-3.57
sensors/gps,2015-03-21 07:12:49,2015-03-21 11:13:23,40.43347129444281,N,8.585143158303367,W,1,7,1.15,375.4
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.48,-3.61
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.55,-3.64
sensors/encoder,2015-03-21 07:12:49,0.4529312244897959,47557.77857142857
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.59,-3.66
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.56,-2.58,-3.68
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.58,-3.68
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.58,-3.66
sensors/encoder,2015-03-21 07:12:49,0.4590367307692308,47739.82
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.58,-3.65
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.55,-3.61
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.56,-3.6
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.54,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.54,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.54,-3.64
sensors/encoder,2015-03-21 07:12:49,0.4744738755304101,47921.86142857142
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.53,-3.64
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.55,-3.65
